candidate_id,name,slug,domain,source,source_url,source_id,type_guess,status_guess,hei_existing_check,decision,notes,generated_at
hei_unadded_0322,Carbonswap,carbonswap,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,carbonswap,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0323,Cashierest,cashierest,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cashierest,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0324,CashPayz Exchange,cashpayz-exchange,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cashpayz-exchange,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0325,Catalist DEX,catalist-dex,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,catalist-dex,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Endurance,2026-06-11T02:37:49.704Z
hei_unadded_0326,Catex,catex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,catex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0327,Catex,catex,catex.io,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=1,catex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=169,2026-06-11T02:37:49.704Z
hei_unadded_0328,Catton,catton,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,catton,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=CDP; chains=TON,2026-06-11T02:37:49.704Z
hei_unadded_0329,Cauldron,cauldron,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,cauldron,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Bitcoincash,2026-06-11T02:37:49.704Z
hei_unadded_0330,CaviarNine,caviarnine,caviarnine.com,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=2,caviarnine,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=468,2026-06-11T02:37:49.704Z
hei_unadded_0331,CaviarNine Agg,caviarnine-agg,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,caviarnine-agg,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=DEX Aggregator; chains=Radix,2026-06-11T02:37:49.704Z
hei_unadded_0332,CaviarNine LSU Pool,caviarnine-lsu-pool,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,caviarnine-lsu-pool,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Radix,2026-06-11T02:37:49.704Z
hei_unadded_0333,CaviarNine Shape Liquidity,caviarnine-shape-liquidity,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,caviarnine-shape-liquidity,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Radix,2026-06-11T02:37:49.704Z
hei_unadded_0334,CBX,cbx,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cbx,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0335,Ccore,ccore,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,ccore,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0336,CCRYPTOEX,ccryptoex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,ccryptoex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
